Customer_ID,Total_Revenue,Order_Count,First_Purchase,Last_Purchase,Lifespan_Days,Avg_Order_Value,Purchase_Frequency,CLV_Simple,CLV_Category
CUST0001,943.7708423935009,8,2022-02-01,2023-01-01,334,117.9713552991876,8.748502994011975,3096.21826512778,High
CUST0002,617.5317254115159,6,2022-01-01,2023-01-01,365,102.92195423525266,6.004109589041096,1853.864077040188,Medium
CUST0003,548.8606916488864,5,2022-03-01,2023-01-01,306,109.77213832977728,5.968137254901961,1965.405564948586,Medium
CUST0004,247.11787763708224,3,2022-02-01,2022-11-01,273,82.37262587902741,4.013736263736264,991.8659868894977,Low
CUST0005,337.34118468683255,4,2022-01-01,2022-11-01,304,84.33529617170814,4.805921052631579,1215.9263260545947,Low
CUST0006,523.0773190384444,4,2022-02-01,2022-11-01,273,130.7693297596111,5.351648351648352,2099.4944041625477,Medium
CUST0007,559.9084372987143,5,2022-03-01,2022-12-01,275,111.98168745974286,6.640909090909091,2230.9806188002403,Medium
CUST0008,530.19327924288,5,2022-02-01,2022-12-01,303,106.03865584857598,6.0272277227722775,1917.3573786481375,Medium
CUST0009,231.0294450041772,3,2022-01-01,2022-12-01,334,77.0098150013924,3.2806886227544907,757.9356717464884,Low
CUST0010,557.3067709315343,5,2022-02-01,2022-08-01,181,111.46135418630686,10.089779005524862,3373.861294189109,High
CUST0011,536.2846436745682,5,2022-03-01,2022-10-01,214,107.25692873491364,8.533878504672899,2745.9527958243375,High
CUST0012,965.1071979104096,9,2022-01-01,2022-12-01,334,107.23413310115662,9.842065868263473,3166.216203923148,High
CUST0013,586.1226307187316,6,2022-02-01,2023-02-01,365,97.6871051197886,6.004109589041096,1759.5722537261645,Medium
CUST0014,654.9987467448759,4,2022-01-01,2023-01-01,365,163.74968668621898,4.002739726027397,1966.3421280704051,Medium
CUST0015,346.1491258466326,5,2022-01-01,2023-01-01,365,69.22982516932652,5.0034246575342465,1039.1586428669798,Low
CUST0016,192.70532093807736,2,2022-03-01,2022-11-01,245,96.35266046903868,2.9816326530612245,861.8647159914216,Low
CUST0017,995.1481860635141,7,2022-01-01,2022-11-01,304,142.16402658050202,8.410361842105262,3586.952713418077,Very High
CUST0018,143.1831747224085,2,2022-01-01,2022-03-01,59,71.59158736120425,12.38135593220339,2659.2027746115104,High
CUST0019,1103.990274827222,11,2022-04-01,2023-02-01,306,100.36275225702019,13.129901960784315,3953.2592929474795,Very High
CUST0020,172.80062377308428,2,2022-01-01,2022-09-01,243,86.40031188654214,3.006172839506173,779.2028127545559,Low
CUST0021,1200.7781642166374,9,2022-01-01,2023-01-01,365,133.41979602407082,9.006164383561643,3604.8018450421378,Very High
CUST0022,1134.7927192240497,8,2022-01-01,2022-12-01,334,141.84908990300622,8.748502994011975,3722.901563142971,Very High
CUST0023,678.883787146882,5,2022-01-01,2022-08-01,212,135.7767574293764,8.61438679245283,3508.900517765075,Very High
CUST0024,159.2750839040828,1,2022-04-01,2022-04-01,1,159.2750839040828,365.25,174525.67318789873,Very High
CUST0025,660.0171591136494,7,2022-02-01,2023-02-01,365,94.28816558766421,7.004794520547945,1981.4076769829626,Medium
CUST0026,216.9402761604794,3,2022-07-01,2022-11-01,123,72.31342538682647,8.908536585365853,1932.6203870150025,Medium
CUST0027,303.50580107282497,5,2022-01-01,2023-01-01,365,60.70116021456499,5.0034246575342465,911.141045275474,Low
CUST0028,567.2403493922667,5,2022-02-01,2023-01-01,334,113.44806987845334,5.467814371257485,1860.9389606184918,Medium
CUST0029,909.6050112373912,8,2022-02-01,2022-12-01,303,113.7006264046739,9.643564356435643,3289.4379243015555,High
CUST0030,659.0087627623409,3,2022-11-01,2022-11-01,1,219.66958758744696,1095.75,722108.851796835,Very High
CUST0031,285.14212227003594,3,2022-07-01,2022-10-01,92,95.04737409001199,11.910326086956523,3396.1356573629564,Very High
CUST0032,352.21131872060533,5,2022-03-01,2023-02-01,337,70.44226374412106,5.4191394658753715,1145.2093545641048,Low
CUST0033,267.29808632448373,2,2022-08-01,2022-12-01,122,133.64904316224187,5.9877049180327875,2400.7530990987957,High
CUST0034,528.4699956627542,4,2022-02-01,2022-11-01,273,132.11749891568854,5.351648351648352,2121.1391858881425,Medium
CUST0035,548.954978403737,5,2022-01-01,2022-12-01,334,109.79099568074739,5.467814371257485,1800.9503520535773,Medium
CUST0036,664.4060934081809,5,2022-01-01,2022-12-01,334,132.8812186816362,5.467814371257485,2179.709511532977,Medium
CUST0037,519.7878459503438,3,2022-02-01,2022-04-01,59,173.26261531678128,18.572033898305087,9653.517494916769,Very High
CUST0038,606.9536506490886,3,2022-01-01,2022-06-01,151,202.31788354969618,7.256622516556291,4404.433527806216,Very High
CUST0039,802.0224391129527,7,2022-02-01,2023-02-01,365,114.57463415899325,7.004794520547945,2407.715308652104,High
CUST0040,842.8692680354206,6,2022-04-01,2022-10-01,183,140.47821133923676,11.975409836065573,5046.852461474383,Very High
CUST0041,918.5483240519366,7,2022-01-01,2023-02-01,396,131.22118915027664,6.456439393939394,2541.6649648482557,High
CUST0042,117.37115365390514,3,2022-03-01,2022-05-01,61,39.12371788463505,17.963114754098363,2108.3515019060096,Medium
CUST0043,966.2734051017732,8,2022-02-01,2022-12-01,303,120.78417563772165,9.643564356435643,3494.3699130041846,Very High
CUST0044,258.10771992630066,2,2022-09-01,2022-11-01,61,129.05385996315033,11.975409836065575,4636.418591954819,Very High
CUST0045,472.2931900230148,4,2022-07-01,2023-01-01,184,118.0732975057537,7.940217391304349,2812.5829509115138,High
CUST0046,150.20979363821579,2,2022-09-01,2022-12-01,91,75.10489681910789,8.027472527472527,1808.7074876821423,Medium
CUST0047,466.75783186195895,5,2022-01-01,2022-03-01,59,93.35156637239179,30.953389830508474,8668.642275639686,Very High
CUST0048,501.69599752296324,4,2022-02-01,2023-01-01,334,125.42399938074081,4.374251497005988,1645.9083511550507,Low
CUST0049,277.43875088622747,4,2022-06-01,2022-08-01,61,69.35968772155687,23.95081967213115,4983.664119403013,Very High
CUST0050,495.0500659826905,5,2022-05-01,2022-10-01,153,99.0100131965381,11.936274509803923,3545.4320901995634,Very High
CUST0051,589.8338341139425,4,2022-01-01,2022-05-01,120,147.45845852848564,12.175,5385.920197752937,Very High
CUST0052,287.08138506587903,4,2022-09-01,2023-01-01,122,71.77034626646976,11.975409836065575,2578.4379318519423,High
CUST0053,490.7157442265677,4,2022-02-01,2022-10-01,242,122.67893605664193,6.037190082644628,2221.9081683316595,Medium
CUST0054,931.3451372342204,7,2022-01-01,2022-12-01,334,133.04930531917435,7.654940119760479,3055.453395582027,High
CUST0055,494.7872832113483,5,2022-03-01,2022-08-01,153,98.95745664226966,11.936274509803923,3543.5501018224504,Very High
CUST0056,469.71899869802826,5,2022-02-01,2023-02-01,365,93.94379973960565,5.0034246575342465,1410.1221721188067,Low
CUST0057,471.83905007748274,4,2022-07-01,2023-02-01,215,117.95976251937068,6.795348837209302,2404.733205220473,High
CUST0058,734.4340208314857,6,2022-02-01,2023-01-01,334,122.40567013858094,6.561377245508981,2409.44933630569,High
CUST0059,218.4492744680797,4,2022-03-01,2023-01-01,306,54.61231861701992,4.7745098039215685,782.2411519555501,Low
CUST0060,307.1446286351237,2,2022-06-01,2022-11-01,153,153.57231431756185,4.7745098039215685,2199.6975609603714,Medium
CUST0061,666.7447848778013,7,2022-02-01,2023-01-01,334,95.24925498254304,7.654940119760479,2187.3820300294933,Medium
CUST0062,296.0661531553625,3,2022-02-01,2022-10-01,242,98.68871771845416,4.527892561983471,1340.555732727225,Low
CUST0063,214.43397543868952,3,2022-02-01,2022-09-01,212,71.4779918128965,5.168632075471698,1108.3303235233209,Low
CUST0064,260.07351933614086,3,2022-07-01,2022-12-01,153,86.69117311204695,7.161764705882353,1862.5853517161854,Medium
CUST0065,408.2884717148148,5,2022-01-01,2023-01-01,365,81.65769434296297,5.0034246575342465,1225.704364058927,Low
CUST0066,259.38744070690126,2,2022-04-01,2022-06-01,61,129.69372035345063,11.975409836065575,4659.406363189952,Very High
CUST0067,385.84057193995847,3,2022-02-01,2023-01-01,334,128.61352397998616,3.2806886227544907,1265.8227745605072,Low
CUST0068,304.25364546982127,4,2022-07-01,2023-02-01,215,76.06341136745532,6.795348837209302,1550.632241970031,Low
CUST0069,544.2609190030313,5,2022-02-01,2022-09-01,212,108.85218380060626,8.61438679245283,2813.0844433847715,High
CUST0070,142.2925338346368,2,2022-11-01,2023-02-01,92,71.1462669173184,7.940217391304349,1694.7504777098184,Low
CUST0071,145.77117053551603,3,2022-09-01,2023-01-01,122,48.590390178505345,8.981557377049182,1309.2521320843584,Low
CUST0072,739.9328814011341,6,2022-04-01,2022-12-01,244,123.32214690018901,8.981557377049182,3322.8748147348065,High
CUST0073,707.0773232165236,9,2022-03-01,2023-02-01,337,78.56414702405817,9.754451038575668,2299.050376600907,Medium
CUST0074,540.6564791042989,4,2022-08-01,2023-02-01,184,135.16411977607473,7.940217391304349,3219.697483578998,High
