Customer_ID,Total_Sales,Total_Orders,Avg_Order_Value,Total_Quantity,Avg_Discount,Avg_Profit,Avg_Delivery_Days,Weekend_Order_Ratio,Preferred_Category,Unique_Categories,Preferred_Region,Customer_Type,Frequency,Monetary,Churned,CLV_Simple,CLV_Category,Purchase_Frequency,Lifespan_Days
CUST0001,943.7708423935009,8,117.9713552991876,39,0.1125,29.680519935061785,1.0,0.5,Office Supplies,4,Central,Corporate,8,943.7708423935009,0,3096.21826512778,High,8.748502994011975,334
CUST0002,617.5317254115159,6,102.92195423525266,29,0.11666666666666665,43.548707638610324,1.0,0.3333333333333333,Clothing,4,Central,Corporate,6,617.5317254115159,0,1853.864077040188,Medium,6.004109589041096,365
CUST0003,548.8606916488864,5,109.77213832977728,24,0.05,36.87843979422644,1.0,0.4,Electronics,3,Central,Consumer,5,548.8606916488864,0,1965.405564948586,Medium,5.968137254901961,306
CUST0004,247.11787763708224,3,82.37262587902741,17,0.0,14.221972820940076,1.0,0.3333333333333333,Furniture,2,South,Consumer,3,247.11787763708224,0,991.8659868894975,Low,4.013736263736264,273
CUST0005,337.34118468683255,4,84.33529617170814,31,0.0625,3.269441689219729,1.0,0.25,Clothing,4,Central,Consumer,4,337.34118468683255,0,1215.9263260545947,Low,4.805921052631579,304
CUST0006,523.0773190384444,4,130.7693297596111,16,0.025,3.8727480732781956,1.0,0.0,Office Supplies,3,West,Consumer,4,523.0773190384444,0,2099.4944041625477,Medium,5.351648351648352,273
CUST0007,559.9084372987143,5,111.98168745974286,39,0.05,22.122963250268587,1.0,0.2,Clothing,3,Central,Home Office,5,559.9084372987143,0,2230.9806188002403,Medium,6.640909090909091,275
CUST0008,530.19327924288,5,106.03865584857598,26,0.12,27.080402469065397,1.0,0.2,Office Supplies,2,South,Corporate,5,530.19327924288,0,1917.3573786481377,Medium,6.0272277227722775,303
CUST0009,231.0294450041772,3,77.0098150013924,20,0.09999999999999999,13.067318412399194,1.0,0.6666666666666666,Electronics,3,West,Corporate,3,231.0294450041772,0,757.9356717464884,Low,3.2806886227544907,334
CUST0010,557.3067709315343,5,111.46135418630686,35,0.08,0.9714308601642841,1.0,0.6,Office Supplies,2,East,Corporate,5,557.3067709315343,1,3373.861294189109,High,10.089779005524862,181
CUST0011,536.2846436745682,5,107.25692873491364,31,0.11000000000000001,20.466486806777272,1.0,0.6,Office Supplies,3,East,Consumer,5,536.2846436745682,0,2745.9527958243375,High,8.533878504672899,214
